churn;plan_int;minutos_dias;llamadas_dias;minutos_int;llamdas_int;reclamos
No;no;161.1;99;10.6;4;1
No;no;169.4;107;10.7;4;1
No;no;254.4;133;10.5;4;0
No;yes;127.7;54;5.8;4;2
No;no;170.5;107;13.6;5;6
No;yes;219.1;100;10.1;4;2
No;yes;273.5;104;11;9;2
No;yes;161.9;138;10.7;4;1
No;no;241.7;87;9.4;4;1
No;yes;62.8;124;9.4;4;3
No;no;281.1;83;11.2;9;1
No;no;228.2;70;10.7;5;3
No;no;209.8;82;11.3;3;0
Yes;no;265.6;86;11.1;6;2
No;no;214.9;97;11.8;2;2
No;no;110.5;79;10.5;3;3
No;yes;281.1;88;7.5;3;0
No;no;137.8;86;14.1;3;2
Yes;yes;271.5;98;8.2;2;1
No;no;112.8;108;9;3;2
No;no;187.3;118;15.1;2;1
No;no;197;84;10.8;4;1
No;no;180.4;89;8.4;2;1
Yes;yes;148.5;126;14.5;7;1
No;no;197.1;113;14.6;5;2
No;no;153.7;115;15.9;5;1
No;no;261.3;96;11.3;2;1
No;no;246.2;102;9.4;5;1
No;no;191;88;6.5;4;0
No;no;208.3;86;12.6;3;1
No;no;253;73;9.8;4;0
No;no;202.3;87;6.8;4;0
No;no;174.4;120;10.2;5;0
No;no;127.1;89;12.1;3;1
No;yes;143.5;76;11.3;3;0
No;no;186.9;94;5.8;3;1
No;no;194;118;12.1;4;1
No;no;234.8;89;9.9;6;0
No;no;123.7;96;13.1;4;1
No;no;173.9;103;15.3;5;0
No;no;130.9;115;12.4;4;1
Yes;no;314.6;102;5.7;3;2
No;no;227.9;78;12.1;5;1
No;no;95.5;92;6.6;6;2
No;no;185.3;127;15.1;3;1
No;no;146.3;133;13.1;3;1
No;no;184;99;12.7;3;2
No;no;105.8;110;13.1;5;0
No;no;178;110;11.7;4;1
No;no;149.4;74;10.1;6;1
No;no;209.4;104;11.3;3;2
No;no;172.1;105;11.6;6;1
No;yes;169.3;82;9.4;9;1
No;no;119.1;117;12.2;4;0
No;no;194.2;147;5.5;2;2
No;no;198.8;56;9.9;3;2
Yes;yes;167.7;94;13.4;1;3
No;no;202.2;86;11.8;2;2
Yes;no;322.5;106;9.4;4;2
No;no;216.2;107;10.2;3;0
No;no;76.4;116;9.4;3;3
No;no;72.7;75;9.9;3;1
No;no;210.4;100;9.7;4;0
No;yes;127.2;93;8.1;13;0
No;no;201.8;79;11.9;8;1
No;no;219.5;78;16.1;5;1
No;no;99.3;112;9;6;3
No;no;239.2;114;10.3;2;5
No;yes;120.9;58;11.4;11;2
No;no;224.7;81;15.8;6;1
No;no;176.6;88;14.6;6;1
No;no;283.9;98;10;4;1
Yes;no;180.6;92;10.3;4;1
No;no;125.9;101;10.3;4;1
No;no;237.6;79;9.1;9;0
No;no;198.4;91;9.2;2;2
No;no;274.3;110;10.9;5;0
Yes;yes;199.6;89;11;4;3
No;no;217.7;91;9.6;3;3
No;no;134.7;96;7.6;6;3
No;no;212.7;73;9.7;13;2
No;no;256.3;135;6.2;7;2
No;no;183.6;133;12.7;2;1
No;no;176.2;90;9.2;4;1
No;no;205;94;11.7;8;1
Yes;no;267.9;114;11.3;3;3
No;no;179.2;111;9.9;6;2
No;no;149.4;145;14.9;3;1
No;no;163.6;132;13.1;3;3
No;no;207.6;71;12.4;13;1
No;no;165.4;108;8.9;4;3
No;no;209.8;114;9.9;9;4
No;no;220.1;128;11.1;3;0
No;no;141.3;72;8.2;5;1
No;no;196.5;89;4;7;0
No;yes;180.9;114;7.4;4;2
No;no;105;150;14.9;5;0
Yes;no;271.4;119;11.1;6;4
No;no;206.7;79;10.9;3;1
No;no;166.8;109;9.3;1;1
No;no;204.9;107;10.4;3;5
No;no;154.6;128;9.1;4;1
No;no;127;107;7.5;2;1
No;yes;267.4;78;5.9;4;1
No;no;281;66;0;0;1
No;no;270.8;96;11.8;8;4
No;no;171.2;82;10.2;7;1
No;no;124.1;82;6.7;8;3
No;no;162.8;113;7.2;3;1
No;no;146.3;84;8;12;1
No;no;254.8;85;15;7;2
No;no;254.9;108;5.4;3;2
No;no;107.7;124;8.9;3;0
No;no;158.8;75;7.6;7;1
No;no;182.9;113;5.5;4;2
No;no;198.5;112;12.4;5;0
No;no;178.4;72;12;2;0
No;no;110.9;91;6.2;5;1
Yes;no;166.9;85;12.3;4;1
No;yes;244.8;91;10.7;3;2
Yes;no;120.8;96;11.9;3;4
No;no;165.3;118;8.5;3;2
No;no;126.7;113;14.4;7;2
No;no;215.9;106;15.5;7;0
No;no;140.1;132;8;2;1
No;no;209.9;113;8.7;7;1
No;yes;139.8;114;5.5;6;0
Yes;no;321.6;107;11.3;3;2
No;no;166.6;61;8.2;6;7
No;no;214.2;90;5.9;8;0
Yes;no;260;123;9;3;1
Yes;no;191.9;113;13.4;4;4
No;no;213;95;13.5;3;0
No;no;118.1;83;16.9;2;1
No;no;190.2;89;15;4;6
No;no;82.2;95;5.1;6;0
No;no;163.8;80;8.1;5;0
Yes;no;267.8;145;14.4;11;5
No;no;159.8;91;10.6;3;2
No;no;214.3;129;10.6;4;1
Yes;no;287.3;123;10.5;4;0
No;no;101.2;122;7.5;3;2
No;no;102.8;74;13.2;5;2
No;no;109.1;97;8.3;6;0
No;no;215.9;67;5.2;2;1
No;no;203.4;110;11;4;1
No;no;110.1;113;9.2;2;1
No;no;111;51;4.4;14;1
No;no;239.9;121;9.3;5;1
No;no;144.8;107;13.8;3;1
No;no;135.4;134;7.9;4;1
No;no;84.2;134;10.8;2;1
No;no;209.1;127;14;6;0
No;no;130.1;117;11.4;5;0
No;no;175.8;139;7.8;5;2
No;no;241.9;104;6.6;5;1
No;no;136.7;106;9.8;4;0
No;no;67.7;68;12;2;1
No;no;200.4;87;10;2;1
Yes;yes;125.8;103;14.1;4;1
No;no;128.2;87;11.2;2;1
No;no;226.3;88;13;3;4
No;no;162.3;107;9.2;4;0
No;no;224.4;121;6.7;2;2
No;no;120.5;127;14.3;2;1
No;no;91.1;90;11.9;8;2
No;no;168.8;137;15.5;4;0
No;no;153.5;81;6.5;5;2
No;no;226.2;88;6.4;2;0
No;no;191.9;107;12.6;2;1
Yes;no;167.9;147;9.2;6;4
No;no;180;88;11.5;6;2
Yes;no;257.4;67;13.4;5;2
No;no;174.4;75;11;4;1
No;no;159.7;83;8.4;3;1
No;no;237.2;124;11;3;1
No;no;103;129;7.9;3;1
No;no;153.8;89;11.6;2;4
No;no;205.1;86;10.7;2;3
No;no;175.7;93;8.6;3;2
No;no;155.9;123;8.6;8;2
No;no;154.4;109;10.3;5;0
No;no;209.7;73;7.1;3;2
No;yes;150;69;9.4;15;0
No;no;232.4;97;12.3;3;3
No;no;165.4;100;12.8;5;2
No;no;199.2;106;13.3;3;3
No;no;217.6;81;4.2;3;0
No;no;212.1;95;7.7;2;3
No;no;154;75;10.8;5;1
No;no;193.8;130;13.3;2;1
No;no;175.4;130;12.2;4;0
Yes;no;152;63;15.7;5;2
No;no;230.2;147;9.2;3;0
Yes;no;174.9;103;13.5;3;1
No;no;190.2;68;8.8;4;0
No;no;176.4;122;11.5;1;1
No;no;160.9;95;5;5;3
No;no;228.7;90;11.8;3;1
No;no;144;90;12.3;2;0
No;no;135.9;90;9.5;7;6
Yes;no;334.3;118;10.4;6;0
No;no;130.5;77;13;6;0
Yes;no;134.2;105;11.8;2;4
Yes;no;278;102;13.1;4;4
No;no;105.4;70;7.8;5;0
No;no;188.9;94;11.6;8;3
No;no;111.8;85;6.9;4;1
No;no;159.1;106;13;18;1
No;no;212.4;105;9;4;1
No;no;142.3;112;9.9;1;1
Yes;yes;346.8;55;13.3;9;1
No;no;113.9;102;11.8;9;1
Yes;yes;267.9;103;8.3;2;1
No;no;171.4;117;17;4;3
No;no;275.4;150;13.6;3;1
No;no;197.2;118;3.9;2;0
No;no;192.6;97;7.9;2;2
No;no;91.7;104;7.7;5;1
No;no;126.3;99;9.6;2;0
No;no;251.5;107;10.4;6;3
No;no;190.6;108;7.5;5;1
No;no;116.1;101;11.6;5;0
No;no;217.3;91;11.3;3;2
No;no;179.4;80;14.7;3;0
No;no;207.7;109;7.9;3;0
Yes;no;277.3;138;12.8;4;2
No;no;125.3;84;8.4;4;1
No;no;138.1;91;6.8;3;2
No;no;169.3;88;8.2;3;0
No;no;201.3;101;12.3;3;1
No;yes;216.7;117;9.8;4;2
No;no;190.4;92;8.3;4;2
No;no;143.3;91;6;7;1
No;no;97.4;57;11.4;2;2
No;no;181.4;111;11.3;3;3
No;no;246.4;83;3.8;4;0
No;no;143.4;130;9.7;6;2
No;no;104.9;111;8;5;2
No;no;156.2;93;13.1;5;1
No;no;114.8;125;12;4;0
No;no;232.5;96;11.9;2;0
No;no;143.6;117;8.6;3;1
No;no;176.7;132;9.1;4;2
Yes;no;263.4;148;11.4;5;1
No;no;146.4;74;11.3;3;1
No;no;145;72;14.2;3;2
No;no;167.8;91;8.4;12;1
No;no;166.9;99;7.2;5;0
No;no;142.5;87;7.8;8;2
No;yes;133;65;11.2;3;1
No;no;252.9;129;12.3;1;1
No;no;95;94;10;2;2
Yes;yes;194.2;106;12.9;1;1
No;no;222.8;114;0;0;1
No;no;201.8;82;16.5;5;0
Yes;no;216;125;9.3;4;2
No;no;146.3;108;5.3;9;1
No;no;234.8;85;9.5;5;1
No;no;198.6;111;10.6;6;2
No;no;94.4;80;13.1;9;2
No;no;190.4;74;10;1;2
No;no;142.6;77;12;2;3
No;yes;134.2;80;10.7;5;0
Yes;no;111.9;92;14.1;3;5
No;no;122.8;89;10.7;2;2
No;no;189.3;77;9.2;5;4
No;no;240.4;112;16.1;6;0
No;yes;93.5;112;9.9;3;0
No;no;158.6;104;10.2;8;3
No;yes;243.2;109;7.2;4;4
No;no;176.4;115;9.3;3;4
No;no;220.9;129;6.4;5;0
No;no;144.4;87;7.1;7;0
No;no;212.3;107;7.7;3;0
No;no;147;72;8.4;9;1
No;no;96.2;112;12.9;10;2
No;no;263.4;118;10.3;2;0
No;yes;12.5;67;7.7;9;1
No;no;162.3;116;10.1;3;2
No;no;183.6;107;8.7;3;1
No;no;178.1;109;8.5;2;1
No;no;201.4;101;7;3;0
No;no;123;158;13.3;4;1
No;no;208;125;8.6;6;0
No;no;239.2;72;8.8;3;1
No;no;193;97;15.3;3;1
No;no;174.5;101;10.3;9;1
No;no;116.7;71;9.9;3;1
No;no;93.8;127;10.7;2;1
No;yes;154.1;114;12.9;3;2
No;no;239.5;82;9.9;6;0
No;no;216;140;11.8;4;0
No;no;187.4;97;12.2;6;1
No;no;167.4;119;10.3;5;0
No;no;160.4;108;12.5;4;1
No;no;143.2;92;11.9;9;1
No;no;205.3;122;5;9;1
No;no;219.1;88;14.3;6;1
No;no;143.2;77;7.6;4;1
No;no;232.8;106;12.5;7;2
No;no;162;81;8.9;8;0
No;no;25.9;119;6.5;7;1
Yes;no;154.2;123;15.4;4;4
Yes;no;322.3;113;6.7;8;0
No;no;209.9;112;8.2;3;1
No;no;191.5;88;0;0;0
No;no;291.1;150;7.5;2;1
No;no;215.6;115;11.8;1;3
No;yes;208.8;101;12.4;6;3
No;no;255.9;97;12.3;5;3
No;no;252.7;97;12.4;4;2
No;no;132.1;72;6.9;6;3
No;no;217;115;8.2;4;1
No;no;101.9;79;12.9;2;0
No;no;211.5;100;13.3;4;2
No;no;153.4;86;10.4;3;0
No;no;166.3;95;10;3;2
No;no;185.2;87;9.5;13;1
No;no;104.6;121;6.5;8;2
No;no;245.2;105;7.2;8;0
No;no;274.4;120;6;3;1
No;no;98.4;78;14.2;4;1
No;no;279.9;121;13;2;1
No;no;187.2;127;5.1;4;1
No;no;276.2;95;2.2;4;3
No;no;200.4;104;8.3;4;1
No;no;162.3;96;9.1;4;2
Yes;no;176.9;128;10.5;2;4
No;no;165.5;78;12.2;6;0
No;no;217.8;93;10.4;5;4
Yes;no;201.4;100;12.9;4;2
No;no;190.5;115;10.1;5;3
No;no;179.9;97;12.8;7;3
No;no;235.9;104;5.8;2;3
No;no;140.4;112;7.9;1;0
No;no;144.6;115;7.4;9;2
No;no;189;100;17.1;6;0
No;no;101;93;13.3;2;0
No;no;206.3;98;10.6;4;1
No;no;165.1;85;10.9;4;1
Yes;no;165;129;12.5;7;1
No;no;155.9;95;11.7;3;3
No;yes;199.2;122;11.8;7;1
No;no;155.3;116;12.3;4;3
No;no;208.3;106;11.3;5;3
No;no;157.1;79;12.1;6;1
Yes;no;154.4;165;11.7;4;5
Yes;no;189.1;105;10.4;5;1
No;no;131.5;98;10;3;2
No;no;166.4;85;9.9;5;1
No;no;142.3;75;12.8;9;2
No;no;87.7;103;7.3;4;2
No;no;184.1;78;16.9;3;0
No;yes;174.5;104;12.3;10;2
No;no;103.3;103;9;2;2
No;no;35.1;62;12.7;2;1
No;no;246.6;94;13;5;1
No;no;78.5;109;11.8;4;1
Yes;no;148.1;73;12.3;2;5
No;no;206.2;84;9;3;1
No;no;251.6;87;12.2;3;2
Yes;yes;270.3;111;14.4;7;1
No;no;156.6;97;11.3;1;1
No;no;139.4;81;13.6;6;1
No;no;220.2;108;11.7;3;2
No;no;214.1;108;10.1;3;1
No;no;196;74;7.9;6;1
Yes;no;106.4;71;5.3;4;6
No;no;179.4;113;10;5;0
No;no;216.7;30;10.8;1;2
No;no;177.3;129;5.1;2;0
No;no;151.6;117;4;5;1
No;no;262.2;123;10.6;5;0
No;no;173.6;110;9.7;7;3
No;yes;106.6;76;9.6;8;2
Yes;no;193.3;106;11.6;4;5
No;no;217.2;94;11.3;4;0
No;no;209.5;89;8.8;4;1
No;no;95.4;105;5.6;5;1
No;no;214.6;110;8.1;2;1
Yes;no;131.6;120;11.1;4;4
No;no;168.4;117;11.8;7;1
No;no;146.4;123;7.8;5;1
No;yes;183;110;11.1;6;1
No;no;103.3;122;6.4;7;0
No;no;112.2;70;10.6;2;0
No;yes;170.7;55;8.2;9;3
No;no;172.5;78;10.9;2;0
No;no;194.3;107;7.1;5;1
No;no;187.8;117;12;3;2
No;yes;307.1;94;8;3;0
No;no;118.2;106;12.2;3;3
No;no;154;95;12.9;1;1
No;no;155.5;101;7.6;11;1
No;yes;125.6;108;5.4;5;1
No;no;199.3;104;15.2;2;0
No;no;157.9;88;12.8;3;1
No;no;203.4;81;9.2;5;2
No;no;222.2;113;10.9;5;1
No;no;92.8;98;5.8;7;1
No;no;216.8;78;8.6;2;0
No;no;193.2;89;9.7;2;4
No;no;113.2;108;14.1;4;3
No;no;166.2;54;11.2;2;3
No;no;262.2;101;7.3;14;1
No;no;207.8;92;13.1;4;0
No;no;245.4;89;7.5;6;1
Yes;no;287.1;108;14.4;2;3
No;no;192.3;82;9;1;2
No;no;194.2;122;9.7;3;2
No;no;211;92;9.8;7;3
No;no;141.9;92;8.7;5;0
No;no;220.5;94;5.9;9;2
No;no;157.4;122;9.3;2;1
No;no;143.5;106;11.2;5;0
No;no;156;56;8.9;8;0
No;yes;160.1;63;9.2;3;2
Yes;yes;235.1;98;7.2;2;4
Yes;yes;160;95;8.7;5;5
No;no;188.4;63;13.2;2;1
No;no;194.8;97;11;3;1
No;no;247.8;117;6.9;2;1
No;no;221.2;80;11.9;3;4
No;no;118.5;86;13.4;3;2
No;no;231.8;78;7.6;4;1
No;no;215.9;90;11.6;4;1
No;no;217.1;92;8;5;2
No;no;83.5;96;12.6;3;0
No;no;183.3;106;5.1;7;1
Yes;yes;236.8;141;9.5;2;1
No;no;193.8;90;8.5;3;1
No;no;134;112;9.7;4;0
No;no;176.6;65;11.3;5;2
No;no;191.4;93;10.2;3;3
No;yes;174.8;127;12.8;3;0
No;no;275.2;67;7.9;2;1
No;no;174;85;7.9;1;1
No;no;165;132;12.6;8;1
No;no;228.7;102;11.8;4;1
No;no;107.9;88;9.5;3;2
No;no;221.3;140;11.3;6;1
No;no;141.1;84;5.9;6;3
No;no;166.4;92;10.7;4;4
No;no;249.6;87;7.6;3;3
No;no;178.6;83;10.9;5;1
No;no;139;96;15.7;5;2
No;no;134.3;98;12.6;5;2
No;no;215.9;93;4.9;5;3
No;no;181.6;91;11.4;4;1
No;no;178.4;97;9.3;9;1
No;no;106.4;84;11.4;3;1
No;no;170.7;101;11.4;4;2
No;no;184.5;139;12.3;6;0
No;no;161.2;109;8.9;4;1
No;no;84.9;77;7.5;5;2
No;no;217.9;71;10.6;2;1
Yes;no;270.9;98;8.8;5;0
Yes;no;243;91;15.3;6;0
No;no;128.2;71;8.9;3;0
No;no;126.3;115;9.8;7;2
No;no;178.7;56;10.6;2;4
No;no;159;109;10.1;4;0
No;no;150.9;79;11.7;5;3
No;yes;219.9;118;8.1;4;3
No;no;168;116;10.1;3;2
Yes;no;162.1;83;9.6;3;4
No;no;198.8;107;16.5;7;5
No;yes;256.8;90;9.1;10;3
No;no;182.8;122;11;2;1
No;no;196.8;92;7.7;2;1
No;no;140.1;120;11.2;5;2
No;no;194.3;83;9;3;5
No;no;117.6;66;8.8;5;1
No;yes;193.7;108;11.6;8;0
No;no;243.1;105;7.8;4;2
No;no;145.4;132;5.2;4;1
No;no;169.1;105;9.9;10;3
No;no;229.3;93;8.8;3;2
No;yes;197.2;97;8.3;4;4
Yes;no;186.4;84;11.1;3;2
No;no;76.1;121;10.8;3;0
No;no;162.8;65;6;3;2
No;no;182.3;115;18;5;1
No;yes;194.4;83;11.2;7;2
No;no;189.3;95;12.5;4;2
No;no;160.1;107;9.5;4;3
No;no;145;76;7.1;4;3
No;no;220.7;105;11.5;7;4
Yes;no;224.7;69;7.5;5;1
No;no;147;79;10.5;4;1
No;no;260.8;130;10.1;5;1
No;no;155.4;127;9;3;0
No;no;166.2;112;5.4;7;1
No;no;211.8;115;10.8;7;0
Yes;no;130.5;114;11;5;4
No;no;162.7;102;8.7;6;0
No;yes;237.1;76;7.9;3;1
No;no;166.2;102;13.2;2;4
Yes;no;121.7;48;8.3;2;6
No;no;176.4;62;11.2;2;0
No;no;67.4;116;11.4;2;2
Yes;no;229.7;129;9.6;1;1
No;no;176;118;14.7;7;1
Yes;no;247.7;77;9.6;7;0
No;no;115.4;90;13.1;5;2
Yes;no;112.2;95;13.9;1;0
No;no;162.6;138;11.5;4;0
No;no;229.4;107;10.4;6;4
No;no;139.6;96;15;4;2
Yes;no;263.8;66;8.4;2;5
No;no;217.5;123;9;3;4
No;no;114.3;132;7.5;8;1
No;no;196.3;108;7.7;3;2
No;no;253.2;95;4.4;4;1
No;no;98;99;10.5;4;0
No;no;249.4;118;9.1;3;0
No;no;129.6;107;14.5;5;1
No;no;221.3;106;9.3;7;0
No;no;220.7;106;12.4;9;1
No;no;87.6;76;9.2;5;1
No;no;203.6;61;8.4;3;0
No;no;213.6;110;8.8;3;2
No;no;181.6;112;12.9;4;2
No;no;215.4;123;7.8;6;1
Yes;no;266.3;90;14;2;2
No;no;199.2;111;10.2;2;3
No;no;115;130;7.3;4;3
Yes;no;270.5;69;9.6;5;1
No;no;222.2;127;12.9;4;1
No;no;61.9;78;8.8;2;3
No;no;141.1;92;10.8;2;2
Yes;no;189.2;81;10.6;5;3
No;no;196;135;9.8;1;3
No;no;171.6;119;13.8;4;0
No;yes;174;123;11.4;3;2
Yes;no;78.6;106;7.4;5;1
No;no;200.9;92;8.9;7;1
No;no;141.3;123;6.4;2;1
No;no;235.8;130;7.3;1;2
No;no;185.1;100;6.3;4;3
No;no;254.3;113;11.8;2;2
No;no;183;103;8.7;6;2
No;no;163.5;80;7.5;5;2
No;no;207.9;98;7.7;2;2
No;no;248.6;102;6.1;3;3
No;no;185.4;105;14.5;4;2
No;no;197.8;60;8.9;5;1
Yes;yes;132.1;42;9.1;1;2
No;no;197.1;117;9.3;11;0
No;no;154.6;112;12.6;5;2
Yes;no;153.1;115;10;1;6
No;no;211.2;119;6.3;9;2
Yes;no;96.8;92;10.9;5;2
No;no;172;145;10.1;9;1
No;no;141.1;91;8;7;2
No;no;151.1;121;13.8;2;2
No;no;209.6;107;7.6;2;3
No;no;247;109;10.5;4;3
No;no;221.4;114;10.8;12;1
Yes;no;321.3;99;8;4;1
No;no;243.7;124;11.3;2;0
No;no;251.5;85;11.1;6;3
Yes;yes;236.9;107;7.3;2;0
No;no;159.7;79;9.3;3;2
Yes;yes;148.2;96;9.2;1;4
No;no;150.9;86;14.7;1;1
No;no;210.5;101;11.5;2;1
No;no;170.9;71;4.1;5;2
No;no;254.7;80;10.6;8;0
Yes;no;284.4;89;8.4;8;0
Yes;no;0;0;6.8;1;4
Yes;yes;133.7;45;10.7;2;1
No;no;224.9;117;10.3;3;0
No;no;151.8;98;11.9;5;1
No;no;141.4;107;5.6;3;2
Yes;no;285.7;124;14.8;7;0
No;no;58.4;121;11.9;5;1
No;no;90.4;105;13.1;4;0
No;no;114.4;91;11;3;0
No;no;147.7;103;12.8;3;2
No;no;302.7;93;13.6;14;3
No;no;136.1;120;11.3;4;1
No;no;169.7;84;12.8;6;3
No;no;227.2;89;14.9;2;0
Yes;no;217.8;91;10.3;6;1
No;no;124.2;102;13.1;8;2
No;no;206.2;76;13.6;2;1
No;no;132.9;122;9.9;2;3
No;no;104.9;115;7.7;6;3
Yes;no;245;97;13.7;8;1
No;no;184.5;118;11.6;3;1
No;no;89.5;66;12.3;1;3
No;yes;235.6;131;8.6;4;1
No;no;186;127;11.5;6;4
No;no;223.9;75;7.3;9;1
No;no;179.5;125;6.6;2;1
No;no;169.4;102;8.9;5;1
No;no;118.1;90;8.2;6;1
Yes;no;112;105;4.1;4;4
No;no;168.4;129;8.5;7;0
No;no;214.3;112;11.3;10;0
Yes;no;245.7;139;4.2;5;4
No;no;156.6;134;13.4;10;1
No;yes;142.8;96;8.9;4;1
No;no;202.4;115;10.2;2;3
No;no;116.8;119;12;2;1
No;no;155.7;110;11;1;1
No;no;236.1;107;9.1;4;2
No;no;138.1;113;8.2;2;2
No;no;51.9;108;10.1;3;3
No;no;81.3;116;8.9;3;0
No;no;171.5;98;7.1;3;0
No;no;126;96;7.6;3;1
No;yes;197.2;127;9.9;6;4
No;no;194.1;62;15.3;4;1
No;no;115.7;105;9.3;6;1
No;no;157.2;118;8.4;5;3
Yes;no;269.7;85;4.5;15;3
No;no;246.4;107;9.1;8;0
No;no;227.4;121;13;4;1
No;no;189.8;110;12.2;4;0
No;yes;188.9;124;11.5;5;4
No;no;0;0;7.2;4;1
No;no;110.5;87;11;4;1
No;no;167.6;116;11.7;2;4
No;no;132;90;0;0;3
No;no;167.8;88;11.9;4;0
No;no;213.4;86;5.7;4;1
No;no;175.4;120;10.6;1;0
No;no;82.6;113;9.5;1;3
Yes;no;143.2;80;8.8;7;4
No;no;125.5;139;8.9;8;1
Yes;no;82.3;105;11.8;2;6
No;no;165.6;104;11.8;3;1
No;no;183.1;95;8.4;2;0
No;no;162.1;91;12.2;5;1
No;no;166.6;84;7.7;6;1
No;no;135.9;60;9.4;4;1
No;no;165.7;78;9.8;6;0
No;no;176.1;90;9.7;4;1
No;no;142.3;89;9.1;1;0
No;no;177.6;121;7.6;3;3
No;no;83.2;74;10.7;7;1
No;yes;235;101;5.7;7;2
No;no;105.7;95;6.6;12;2
Yes;yes;149.4;68;17.9;3;3
No;no;264.7;81;10.4;7;0
No;no;160.3;45;5.6;1;1
No;yes;95.9;117;10.4;3;1
No;no;140.7;77;11.7;5;0
No;no;119.7;148;4.6;2;2
No;no;99.9;84;9.8;7;2
No;no;250.9;108;9.6;6;2
No;yes;200.6;117;11.2;5;2
No;no;209.8;130;7;7;1
No;no;198;70;7.6;4;1
No;no;239.8;107;11.3;5;1
No;no;164.5;75;11.2;2;0
No;no;220.9;107;12.2;2;1
No;no;112.8;150;13.2;6;2
Yes;yes;112.6;114;11.1;2;0
No;no;226.4;117;10.8;7;1
No;yes;244.9;118;9.7;6;4
No;no;203.2;99;15.1;6;2
No;no;136.7;115;8.6;4;0
No;no;152.6;97;5;10;1
No;no;274.9;102;8.8;2;1
Yes;no;195.7;116;8.3;3;1
No;yes;204.3;82;9.2;7;1
No;no;222.3;99;8.9;4;3
No;no;222.5;104;9.7;2;1
No;no;128.8;104;10.3;2;2
No;no;174.3;105;8.3;2;0
No;no;242.5;110;7.8;3;4
No;no;221.6;101;12.7;6;4
No;no;114.3;100;10.9;9;0
No;no;219.7;137;9.5;2;2
No;no;144.9;136;12.3;3;2
No;no;236.5;111;8.1;3;2
Yes;no;174;80;14.1;7;2
No;no;109.5;95;6.6;7;1
No;no;81.6;120;9.9;4;1
No;no;133.4;113;5.9;4;1
No;no;137.1;94;8.6;4;1
No;no;197;88;16.1;8;0
No;no;198.1;160;9.3;3;3
No;no;39.5;78;10;6;0
No;no;199.5;107;8.1;4;2
No;no;156.8;93;7.6;6;1
No;no;183.4;85;9;5;3
No;no;132.4;120;8.6;2;1
No;no;63.2;108;5.1;3;0
Yes;yes;181.1;59;16.9;4;0
No;no;117.5;102;4.2;7;3
No;no;218.7;79;15;1;0
No;no;207.3;95;5.9;3;1
No;no;150.6;99;8.1;5;0
Yes;yes;273.3;66;12;7;1
No;yes;266.1;120;10.3;4;1
No;no;112.8;89;16.3;6;0
No;no;104.7;112;15.8;7;3
No;no;193.8;62;5.9;4;0
No;no;168.6;102;9.8;5;1
No;no;253.2;122;9.7;7;2
No;no;174.7;92;8.9;2;1
No;no;87;102;11;5;0
No;no;204.5;79;14.8;9;2
No;no;226.5;93;9.4;4;3
No;yes;234.1;91;10;3;1
Yes;yes;133.3;106;12.9;2;3
No;no;133.9;87;15.4;3;1
No;no;160.2;104;9.7;2;0
No;no;230.6;94;11.1;2;0
No;no;227.4;84;6.3;4;2
No;no;72.8;120;11.8;2;2
No;no;196.1;107;7;2;1
No;no;197.1;110;12.8;3;1
No;no;219.6;126;9.7;5;1
Yes;no;153.4;90;12.8;4;4
No;no;216;85;4.9;10;2
No;no;222.9;136;10.8;4;0
No;no;115.9;120;11.7;6;3
No;no;189.8;101;10.6;5;1
No;no;154.7;102;11.1;3;0
No;no;136.4;104;11.5;1;3
No;no;170.5;86;12.2;6;1
No;no;272.4;88;12.7;2;0
No;no;210;116;5.9;4;8
No;yes;236.5;94;12.2;3;2
No;no;153.9;117;8.5;3;2
No;no;223;120;8.8;5;1
No;no;252.4;74;10.7;3;2
No;no;197.9;84;12;6;1
No;no;152.4;74;6.6;5;3
No;no;237.4;105;9.2;3;3
No;no;265.6;82;8.6;2;1
No;no;197.3;91;6.7;6;1
No;no;199.1;100;4.2;1;1
No;no;233.7;114;12;2;2
No;no;183.1;99;7;3;1
No;no;139.4;96;10;5;2
Yes;no;213.9;112;8.4;3;1
No;no;207.1;70;12.4;2;1
No;no;139.7;78;11.3;5;2
No;no;177.2;91;8.9;3;2
No;no;169.8;136;9.5;7;2
No;no;173.5;83;9.7;2;3
No;no;159.9;100;5.6;4;1
No;no;115.1;89;11.4;3;2
No;no;136.8;113;12.5;3;2
No;no;92.2;108;13.1;6;1
No;no;243.9;112;13.4;11;2
No;no;117.1;94;9;2;0
Yes;no;223.3;99;4.5;4;0
No;no;154.8;111;10.6;2;3
Yes;no;261.4;141;8;6;1
Yes;yes;46.5;104;9.6;4;4
Yes;no;149.9;84;11.5;7;0
Yes;yes;242.2;102;13.9;5;2
Yes;no;259.4;99;10.7;6;1
No;no;222.4;102;12;8;2
No;no;69.4;79;8.9;5;0
Yes;yes;156.5;122;11.1;3;4
Yes;no;61.2;111;13.7;3;5
No;yes;245.2;112;10.7;5;0
No;no;102.3;100;15.7;10;3
No;no;230.9;92;7.6;4;3
No;yes;227.4;105;11.9;3;0
No;no;192.8;68;12.7;6;1
No;no;162.6;98;8.2;2;1
No;no;219.4;92;11;1;2
No;no;137.2;111;14.3;4;1
No;no;87.7;103;10.5;10;1
No;no;271.1;80;10.3;5;1
No;no;103.4;94;14.4;3;1
No;no;52.2;106;11.4;2;2
